GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Headers.WwwAuthenticate,26,0,0,0,7,0,5,0,5,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Response.BodyHandlers,9,20,0,0,1,3,2,6,2,6
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Headers.Link,162,0,8,0,27,0,16,0,12,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Authenticator.AccessToken,50,0,0,0,14,0,7,0,7,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,InruptClientException,9,0,0,0,4,0,2,0,2,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Session.new Session() {...},16,0,0,0,5,0,5,0,5,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,VerifiablePresentation,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Authenticator.DPoP,12,0,0,0,3,0,3,0,3,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Headers.WacAllow,56,0,4,0,13,0,8,0,6,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Request.BodyPublishers,13,16,0,0,3,3,1,3,1,3
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,ByteBufferPublisher,5,16,0,0,1,6,1,3,1,3
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Headers,14,44,3,3,4,10,3,5,1,4
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Request.Builder,36,77,0,0,9,17,5,10,5,10
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Authenticator.Challenge,117,0,6,0,21,0,13,0,10,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Resource,31,0,2,0,10,0,7,0,6,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,VerifiableCredential,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,ClientProvider,6,0,0,0,2,0,2,0,2,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Session,8,0,0,0,2,0,1,0,1,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Session.Credential,27,0,0,0,10,0,5,0,5,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client,Request,10,45,0,0,2,12,2,6,2,6
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client.rdf,RDFFactory,0,28,0,0,0,6,0,6,0,6
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client.rdf,RDFNode,0,193,2,22,0,33,2,27,0,17
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client.rdf,Dataset,11,7,0,0,2,1,1,1,1,1
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client.rdf,Syntax,0,54,0,0,0,6,0,1,0,1
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client.rdf,Graph,0,15,0,0,0,3,0,2,0,2
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client.spi,ReactiveAuthorization,128,0,12,0,30,0,11,0,5,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client.spi,RdfService,0,12,0,0,0,2,0,2,0,2
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client.spi,ClientProviderResolver,46,0,6,0,14,0,7,0,4,0
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client.spi,ServiceProvider,92,51,15,7,24,16,12,5,3,3
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client.util,URIBuilder,7,179,1,19,2,29,1,17,0,8
Inrupt Client Libraries - Jena/inrupt-client-api,com.inrupt.client.util,IOUtils,55,43,0,0,14,12,3,5,3,5
