GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Headers.WwwAuthenticate,26,0,0,0,7,0,5,0,5,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Response.BodyHandlers,29,0,0,0,4,0,8,0,8,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Headers.Link,149,0,8,0,24,0,15,0,11,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Authenticator.AccessToken,50,0,0,0,14,0,7,0,7,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,InruptClientException,9,0,0,0,4,0,2,0,2,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Session.new Session() {...},16,0,0,0,5,0,5,0,5,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,VerifiablePresentation,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Authenticator.DPoP,12,0,0,0,3,0,3,0,3,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Headers.WacAllow,56,0,4,0,13,0,8,0,6,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Request.BodyPublishers,29,0,0,0,6,0,4,0,4,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,ByteBufferPublisher,21,0,0,0,7,0,4,0,4,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Request.Builder,114,0,0,0,26,0,15,0,15,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Headers,58,0,6,0,14,0,8,0,5,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Authenticator.Challenge,117,0,6,0,21,0,13,0,10,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,VerifiableCredential,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Syntax,54,0,0,0,6,0,1,0,1,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,ClientProvider,6,0,0,0,2,0,2,0,2,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Session,8,0,0,0,2,0,1,0,1,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Session.Credential,27,0,0,0,10,0,5,0,5,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client,Request,57,0,0,0,14,0,8,0,8,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client.rdf,RDFNode,117,0,10,0,22,0,20,0,15,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client.spi,ReactiveAuthorization,128,0,12,0,30,0,11,0,5,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client.spi,RdfService,12,0,0,0,2,0,2,0,2,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client.spi,ClientProviderResolver,46,0,6,0,14,0,7,0,4,0
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client.spi,ServiceProvider,111,32,18,4,30,10,14,3,4,2
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client.util,URIBuilder,7,179,1,19,2,29,1,17,0,8
Inrupt Client Libraries - JSON-B/inrupt-client-api,com.inrupt.client.util,IOUtils,68,30,0,0,17,9,4,4,4,4
