GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Headers.WwwAuthenticate,26,0,0,0,7,0,5,0,5,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Response.BodyHandlers,0,29,0,0,0,4,0,8,0,8
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Client.Session.new Client.Session() {...},14,0,0,0,4,0,4,0,4,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Headers.Link,149,0,8,0,24,0,15,0,11,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Authenticator.AccessToken,13,29,0,0,4,8,4,2,4,2
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,InruptClientException,9,0,0,0,4,0,2,0,2,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,VerifiablePresentation,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Authenticator.DPoP,12,0,0,0,3,0,3,0,3,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Headers.WacAllow,56,0,4,0,13,0,8,0,6,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Authenticator.Registry,5,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Request.BodyPublishers,13,16,0,0,3,3,1,3,1,3
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,ByteBufferPublisher,5,16,0,0,1,6,1,3,1,3
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Request.Builder,36,78,0,0,9,17,5,10,5,10
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Headers,14,44,3,3,4,10,3,5,1,4
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Authenticator.Challenge,117,0,6,0,21,0,13,0,10,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,VerifiableCredential,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Syntax,54,0,0,0,6,0,1,0,1,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,ClientProvider,6,0,0,0,2,0,2,0,2,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,RDFNode,117,0,10,0,22,0,20,0,15,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Request,4,53,0,0,1,13,1,7,1,7
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Client.Session,8,0,0,0,2,0,1,0,1,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client.spi,RdfService,12,0,0,0,2,0,2,0,2,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client.spi,ClientProviderResolver,46,0,6,0,14,0,7,0,4,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client.spi,ServiceProvider,92,51,16,6,24,16,13,4,3,3
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client.util,URIBuilder,7,182,1,19,2,30,1,18,0,9
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client.util,IOUtils,68,30,0,0,17,9,4,4,4,4
