GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Headers.WwwAuthenticate,4,22,0,0,1,6,1,4,1,4
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Response.BodyHandlers,0,29,0,0,0,4,0,8,0,8
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Client.Session.new Client.Session() {...},3,11,0,0,1,3,1,3,1,3
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Headers.Link,33,116,3,5,6,18,6,9,3,8
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Authenticator.AccessToken,6,36,0,0,2,10,2,4,2,4
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,InruptClientException,0,9,0,0,0,4,0,2,0,2
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,VerifiablePresentation,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Authenticator.DPoP,5,7,0,0,1,2,1,2,1,2
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Headers.WacAllow,34,22,4,0,7,6,4,4,2,4
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Authenticator.Registry,5,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Request.BodyPublishers,13,16,0,0,3,3,1,3,1,3
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,ByteBufferPublisher,5,16,0,0,1,6,1,3,1,3
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Request.Builder,20,94,0,0,5,21,4,11,4,11
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Headers,2,56,2,4,1,13,2,6,0,5
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Authenticator.Challenge,26,91,3,3,5,16,5,8,2,8
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,VerifiableCredential,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Syntax,0,54,0,0,0,6,0,1,0,1
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,ClientProvider,3,3,0,0,1,1,1,1,1,1
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,RDFNode,0,117,2,8,0,22,2,18,0,15
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Request,0,57,0,0,0,14,0,8,0,8
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client,Client.Session,0,8,0,0,0,2,0,1,0,1
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client.spi,RdfService,0,12,0,0,0,2,0,2,0,2
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client.spi,ClientProviderResolver,9,37,3,3,2,12,3,4,0,4
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client.spi,ServiceProvider,35,108,6,16,6,34,6,11,0,6
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client.util,URIBuilder,7,182,1,19,2,30,1,18,0,9
Inrupt Client Libraries - Report/inrupt-client-api,com.inrupt.client.util,IOUtils,55,43,0,0,14,12,3,5,3,5
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser.Util,3,18,1,3,1,3,2,2,1,1
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,DefaultRegistry,0,81,1,5,0,18,1,5,0,3
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,DefaultDpopService.DPoPManager,30,105,4,4,5,25,3,4,0,3
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,DefaultClient.Builder,12,12,1,1,3,3,2,2,1,2
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,UmaAuthenticationProvider,13,60,5,5,3,16,6,5,1,5
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,AuthenticationException,5,4,0,0,2,2,1,1,1,1
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,DefaultDpopService,7,17,0,0,2,4,0,3,0,3
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,UmaAuthenticationProvider.NeedInfoHandler,47,14,6,0,10,4,6,1,3,1
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser,0,116,0,8,0,24,0,9,0,5
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser.WwwAuthenticateHeaderParser.ChallengeListener,0,61,1,5,0,12,1,5,0,3
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,DefaultClient,33,192,4,6,5,38,6,13,3,11
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser.WacAllowHeaderParser,0,74,2,2,0,20,2,5,0,5
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser.LinkHeaderParser,0,87,2,2,0,23,2,5,0,5
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser.LinkHeaderParser.LinkListener,5,96,6,12,1,15,6,8,0,5
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,UmaAuthenticationProvider.UmaAuthenticator,16,83,0,0,4,16,3,5,3,5
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser.WacAllowHeaderParser.AccessParamListener,0,77,0,8,0,14,0,10,0,6
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,DefaultClientProviderResolver,2,6,0,0,1,2,1,2,1,2
Inrupt Client Libraries - Report/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser.WwwAuthenticateHeaderParser,0,74,2,2,0,20,2,5,0,5
Inrupt Client Libraries - Report/inrupt-client-jackson,com.inrupt.client.jackson,VPDeserializer,0,151,6,8,0,28,6,7,0,6
Inrupt Client Libraries - Report/inrupt-client-jackson,com.inrupt.client.jackson,VCSerializer,0,188,8,20,0,50,8,9,0,3
Inrupt Client Libraries - Report/inrupt-client-jackson,com.inrupt.client.jackson,VCDeserializer,0,196,8,10,0,34,8,9,0,8
Inrupt Client Libraries - Report/inrupt-client-jackson,com.inrupt.client.jackson,VPSerializer,0,135,6,14,0,39,6,7,0,3
Inrupt Client Libraries - Report/inrupt-client-jackson,com.inrupt.client.jackson,JacksonService,10,99,0,0,1,21,1,3,1,3
Inrupt Client Libraries - Report/inrupt-client-jena,com.inrupt.client.jena,JenaService,14,127,0,2,4,31,0,7,0,6
Inrupt Client Libraries - Report/inrupt-client-jena,com.inrupt.client.jena,JenaQuad,0,44,0,6,0,10,0,6,0,3
Inrupt Client Libraries - Report/inrupt-client-jena,com.inrupt.client.jena,JenaBodyHandlers,21,109,0,0,6,22,0,10,0,10
Inrupt Client Libraries - Report/inrupt-client-jena,com.inrupt.client.jena,JenaBodyPublishers,0,46,0,0,0,7,0,10,0,10
Inrupt Client Libraries - Report/inrupt-client-jena,com.inrupt.client.jena,JenaGraph,0,133,0,22,0,36,0,18,0,7
Inrupt Client Libraries - Report/inrupt-client-jena,com.inrupt.client.jena,JenaTriple,8,65,4,8,3,16,4,6,0,4
Inrupt Client Libraries - Report/inrupt-client-jena,com.inrupt.client.jena,JenaDataset,0,86,1,9,0,22,1,9,0,5
Inrupt Client Libraries - Report/inrupt-client-jsonb,com.inrupt.client.jsonb,VCAdapter,28,369,9,45,4,75,9,24,0,6
Inrupt Client Libraries - Report/inrupt-client-jsonb,com.inrupt.client.jsonb,JsonbService,7,70,0,0,2,16,0,4,0,4
Inrupt Client Libraries - Report/inrupt-client-jsonb,com.inrupt.client.jsonb,VPAdapter,55,279,12,30,9,55,11,16,0,6
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,EndSessionRequest,0,27,0,0,0,10,0,5,0,5
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,OpenIdSession,14,197,0,10,4,41,0,14,0,9
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,Metadata,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,TokenRequest.Builder,0,75,1,7,0,17,1,9,0,6
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,OpenIdProvider,57,377,8,14,16,71,10,25,2,22
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,AuthorizationRequest,11,46,0,0,3,16,3,7,3,7
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,EndSessionRequest.Builder,0,31,0,0,0,8,0,5,0,5
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,TokenResponse,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,TokenRequest,0,49,0,0,0,17,0,9,0,9
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,OpenIdException,9,32,2,2,2,9,3,4,1,4
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,OpenIdVerificationConfig,0,27,0,0,0,11,0,7,0,7
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,AuthorizationRequest.Builder,22,45,0,0,8,10,4,4,4,4
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,PKCE,7,30,0,0,2,5,0,2,0,2
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WacAllowBaseListener,1,8,0,0,1,6,1,6,1,6
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,ConsumerErrorListener,0,26,0,0,0,5,0,2,0,2
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateParser.WwwAuthenticateContext,21,21,2,2,5,6,7,3,5,3
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateParser,34,447,6,21,11,101,10,17,4,9
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WacAllowParser,22,272,0,16,8,57,4,16,4,8
